S. No.,Date,Location,Inside / Outside,Mortality / Seizure,State,Sex,Age
117,11/29/2022,"Pench,Compt No 651, Surewani beat, Surewani round, Nagalwadi range",Inside Tiger Reserve,Mortality,Maharashtra,Male,NA
116,11/30/2022,"Tadoba,Survey no 185, Wasera beat,Shioni round, Shioni range",Inside Tiger Reserve,Mortality,Maharashtra,Female,Adult
115,12/29/2022,"RF 234, Ghunghuti range, Umaria Division",Outside Tiger Reserve,Mortality,Madhya Pradesh,Female,Adult
114,12/26/2022,"Bandhavgarh,Compt. No. RF-367/Garhpuri Beat, ,Garhpuri Village, Khitouli Range",Inside Tiger Reserve,Mortality,Madhya Pradesh,Male,Sub Adult
113,12/31/2022,"Gandhinagar area of Irulam station,, Chedleth range, ,South Wayanad Division",Outside Tiger Reserve,Mortality,Kerala,Male,NA
112,12/18/2022,"Nirmala city, Kattapana, Ayyappancoil Range, Kottayam Division",Outside Tiger Reserve,Mortality,Kerala,Male,NA
111,12/18/2022,"Nanakesaradiga beat,Barchi range,Haliyal Division",Outside Tiger Reserve,Mortality,Karnataka,Male,NA
110,12/16/2022,"Mudumalai,Kumbarakolli RF, Mudumalai Range,Bospara beat, Bospara section,",Inside Tiger Reserve,Mortality,Tamil Nadu,Male,NA
109,12/14/2022,"Road side of SH-19 near Belpal Chhak, Udala beat, Udala section, Udala range,Baripada Territorial Division",Outside Tiger Reserve,Seizure,Odisha,NA,NA
108,12-07-2022,"Compt. No. 643, Huma Beat,Nagbhid Round, Nagbhid Range, Brahmapuri Forest Division",Outside Tiger Reserve,Mortality,Maharashtra,Male,Adult
107,12-06-2022,"Tilgaon beat, Panna range,North Panna Territorial Division",Outside Tiger Reserve,Mortality,Madhya Pradesh,Male,Adult
106,12-04-2022,"Near Kakara nala,Kakara compartment No 06,,Surai range of Tarai East Forest Division",Outside Tiger Reserve,Mortality,Uttarakhand,Male,Adult
105,12-03-2022,"Tadoba,Compartment No 265 RF, Wasera beat, Shioni range",Inside Tiger Reserve,Mortality,Maharashtra,Male,Cub
104,12-03-2022,"Tadoba,Compartment No 265 RF, Wasera beat, Shioni range",Inside Tiger Reserve,Mortality,Maharashtra,Male,Cub
103,12-03-2022,"Tadoba,Compartment No 265 RF, Wasera beat, Shioni range",Inside Tiger Reserve,Mortality,Maharashtra,Male,Cub
102,12-03-2022,"Tadoba,Compartment No 265, RF, Wasera beat, Shioni range",Inside Tiger Reserve,Mortality,Maharashtra,Female,Cub
101,12-01-2022,"Tadoba,Compartment No 189, Agarzari beat, Moharli range",Inside Tiger Reserve,Mortality,Maharashtra,Female,Cub
100,12-01-2022,"Kaziranga,Subba camp area, Eastern Range, Agaratolia",Inside Tiger Reserve,Mortality,Assam,Male,Adult
99,11/24/2022,"Nagercoil, Tamil Nadu",Outside Tiger Reserve,Seizure,Tamil Nadu,Male,Adult
98,11/21/2022,"Dehagaon cirlce, Garhi range,,Compartment No RF 14, Borpaani beat, Raisen Forest Division",Outside Tiger Reserve,Mortality,Madhya Pradesh,Male,Adult
97,11/14/2022,"Jim Corbett,Marchula Village , Mandal Range, ,buffer zone of Corbett Tiger Reserve",Inside Tiger Reserve,Mortality,Uttarakhand,Female,Adult
96,11-12-2022,"Aslam Agriculture Land , Hunasekuppe Village Surve,around 260 meterMtr far from Nagarahole Tiger Rese, H.D.Kote Talluk ,Antharasanthe Wildlife range,",Outside Tiger Reserve,Mortality,Karnataka,Female,Adult
95,11-05-2022,"Bandhavgarh,Compartment No RF 97,Raipur round,, Badwar beat, Dhamokhar Range",Inside Tiger Reserve,Mortality,Maharashtra,Male,Adult
94,10/28/2022,"Neri-Mankar beat,,Nagpur Territorial division, Hingna range",Outside Tiger Reserve,Mortality,Maharashtra,Female,NA
93,10/21/2022,"Compartment No 158, Chanaka beat,, Rajura round, Rajura Range",Outside Tiger Reserve,Mortality,Maharashtra,Male,Sub Adult
92,10/20/2022,"Ballarshah Range,Compartment No 439,Satara Komatee beat, Umari round",Outside Tiger Reserve,Mortality,Maharashtra,Male,Sub Adult
91,08-01-2022,"Plot No 13, Purvi Chandni beat, Bail Padav, between Kota bagh road ,and Chandni nehar",Outside Tiger Reserve,Mortality,Uttarakhand,Female,Sub Adult
90,10/17/2022,Surajpur,Outside Tiger Reserve,Seizure,Chattisgarh,Male,NA
89,10/16/2022,"Periyar,Senoioroda at Mullakkudy section of,Thekkady range, East Division, ,Thekkady, Kottayam circle",Inside Tiger Reserve,Mortality,Kerala,Male,Adult
88,10-11-2022,"Jim Corbett, Jhirna beat,Compt No 08,Jhirna sot, Jhirna range",Inside Tiger Reserve,Mortality,Uttarakhand,Male,Adult
87,10-08-2022,"Village Balua, West Champaran district",Outside Tiger Reserve,Mortality,Bihar,Male,Adult
86,10-08-2022,"Pataud village, pataud beat, puswada round, ,Kanker Range, Kanker district",Outside Tiger Reserve,Seizure,Chattisgarh,Male,Adult
85,10-01-2022,"Pench,Konapindrai village of Seoni district",Inside Tiger Reserve,Mortality,Madhya Pradesh,Male,Adult
84,09/16/2022,"Behind of Treasure cinema and near,Vivekanand school,,Baihar, Balaghat district",Outside Tiger Reserve,Seizure,Madhya Pradesh,Male,Cub
83,09/18/2022,"Bandhavgarh,RF 332, Damna beat, Bathan round, Tala Range",Inside Tiger Reserve,Mortality,Madhya Pradesh,Female,Adult
82,08/24/2022,"Sathyamangalam,Askkathi Kuttai, Thalamalai RF, Belathur Beat,, Panahahalli section ,Jeerahalli Range, Hasanur Division",Inside Tiger Reserve,Mortality,Tamil Nadu,Female,Adult
